List Sekolah SMA,,,,,,,,,,
Nama Sekolah,NPSN,BP,Status,Latitude & Longitude,,,,,,
SMAN 1 BANDUNG,20219271,SMA,Negeri,"-6.895135070719616, 107.61270790128432",,,,,,
SMAN 22 BANDUNG,20219250,SMA,Negeri,"-6.942102784207511, 107.63090597027359",,,,,,
SMAN 13 BANDUNG,20219240,SMA,Negeri,"-6.903217413864534, 107.56502341189075",,,,,,
SMAN 6 BANDUNG,20219306,SMA,Negeri,"-6.911242870183511, 107.59780166983094",,,,,,
SMAN 10 BANDUNG,20219257,SMA,Negeri,"-6.902552220046267, 107.64394181222102",,,,,,
SMA BPK PENABUR HOLIS,69895400,SMA,Swasta,"-6.938568330238537, 107.56456345631733",,,,,,
SMAS LANGLANGBUANA,20219788,SMA,Swasta,"-6.907126617541875, 107.67630326977218",,,,,,
SMAN 24 BANDUNG,20219248,SMA,Negeri,"-6.908160665177665, 107.6885704407251",,,,,,
SMAN 12 BANDUNG,20219241,SMA,Negeri,"-6.941216632456839, 107.64616979876833",,,,,,
SMAN 11 BANDUNG,20219243,SMA,Negeri,"-6.940481031871086, 107.61049654321252",,,,,,
SMAN 15 BANDUNG,20219238,SMA,Negeri,"-6.878041681755654, 107.57427837753832",,,,,,
SMAN 26 BANDUNG,20219233,SMA,Negeri,"-6.917240821609926, 107.72503758531712",,,,,,
SMAN 21 BANDUNG,20219251,SMA,Negeri,"-6.95679809325089, 107.6718494299419",,,,,,
SMKN 10 BANDUNG,20219176,SMK,Negeri,"-6.964156538986857, 107.65796930133499",,,,,,
SMAN 23 BANDUNG,20219249,SMA,Negeri,"-6.912545419421477, 107.66496287199317",,,,,,
SMAN 17 BANDUNG,20219235,SMA,Negeri,"-6.942284883433707, 107.57521249893499",,,,,,
SMAS INDONESIA RAYA BANDUNG,20219717,SMA,Swasta,"-6.888958926447304, 107.5807631993295",,,,,,
SMAN 18 BANDUNG,20219244,SMA,Negeri,"-6.938220781034749, 107.58524189871369",,,,,,
SMAN 25 BANDUNG,20219247,SMA,Negeri,"-6.9659777923046855, 107.66549539871157",,,,,,
SMA TUNAS UNGGUL,70023547,SMA,Swasta,"-6.898695115806907, 107.67570040099818",,,,,,
SMA ISLAM TERPADU AL IRSYAD AL ISLAMIYYAH,70051306,SMA,Swasta,"-6.893691729880073, 107.63961962757652",,,,,,
SMAN 20 BANDUNG,20219253,SMA,Negeri,"-6.90419221211588, 107.62228946955975",,,,,,
SMA HARAPAN KASIH,69979164,SMA,Swasta,"-6.951850080337307, 107.60323141141173",,,,,,
SMAN 3 BANDUNG,20219327,SMA,Negeri,"-6.911516009350843, 107.6149905625318",,,,,,
SMA AL BIRUNI CERDAS MULIA,69965368,SMA,Swasta,"-6.939795343493674, 107.71199915807045",,,,,,
SMA Kuntum Cemerlang,69895412,SMA,Swasta,"-6.861653891835802, 107.60498930141426",,,,,,
SMAK GAMALIEL,20253894,SMA,Swasta,"-6.919207907652878, 107.59701905812875",,,,,,
SMAN 27 BANDUNG,20265516,SMA,Negeri,"-6.958634251950449, 107.70740013025629",,,,,,
SMAS ALLOYSIUS 2,20219262,SMA,Swasta,"-6.874924680593086, 107.59704137767298",,,,,,
SMAN 19 BANDUNG,20219246,SMA,Negeri,"-6.872864111077751, 107.61736518400029",,,,,,
SMAN 7 BANDUNG,20219316,SMA,Negeri,"-6.922671322236968, 107.61550389205041",,,,,,
SMAN 4 BANDUNG,20219312,SMA,Negeri,"-6.918241190628289, 107.5988430017864",,,,,,
SMAN 9 BANDUNG,20219324,SMA,Negeri,"-6.900351078338678, 107.58650173905077",,,,,,
SMAN 14 BANDUNG,20219239,SMA,Negeri,"-6.902266671351678, 107.63726853532461",,,,,,
SMA Citra Cemara,70024550,SMA,Swasta,"-6.918589693004781, 107.57580120213997",,,,,,
SMAS MUTIARA BUNDA,20258092,SMA,Swasta,"-6.908069848374639, 107.67089731090337",,,,,,
SMAS BAITURRAHMAN,20247287,SMA,Swasta,"-6.90769437300637, 107.70735490048526",,,,,,
SMAN 16 BANDUNG,20219237,SMA,Negeri,"-6.925702025746385, 107.6571869252399",,,,,,
SMAS NUGRAHA BANDUNG,20219786,SMA,Swasta,"-6.950668041562904, 107.61275570138748",,,,,,
SMA Daarut Tauhiid Boarding School Putri,70029866,SMA,Swasta,"-6.863211400513094, 107.59140663341408",,,,,,
SMA PLUS INTAN AL-SALI,70051821,SMA,Swasta,"-6.912857281184989, 107.71827670046842",,,,,,
SMA AL KENZIE,70006693,SMA,Swasta,"-6.957178927305871, 107.6593726356185",,,,,,
SMKN 13 BANDUNG,20219161,SMK,Negeri,"-6.938373641960615, 107.65724196404578",,,,,,
SMAS MUHAMMADIYAH 2,20219806,SMA,Swasta,"-6.903958525876172, 107.68099663617481",,,,,,
SMAS PGRI 1 BANDUNG,20219780,SMA,Swasta,"-6.89171257414426, 107.59044842697023",,,,,,
