nama_sekolah,npsn,bp,status,latitude,longitude
SDN 007 CIPAGANTI KOTA BANDUNG,20245525,SD,Negeri,-6.894511166,107.6027379
SDN 066 HALIMUN KOTA BANDUNG,20245031,SD,Negeri,-6.927025882,107.6245770
SDN 002 KARANGMULYA KOTA BANDUNG,20245212,SD,Negeri,-6.912343627,107.5803724
SDN 013 PASIRKALIKI KOTA BANDUNG,20245742,SD,Negeri,-6.907651066,107.5977773
SDN 022 CICADAS KOTA BANDUNG,20245153,SD,Negeri,-6.905154014,107.6439970
SDN 011 CIBUNTU KOTA BANDUNG,20244743,SD,Negeri,-6.918949426,107.5760731
SDN 004 CISARANTEN KULON KOTA BANDUNG,20245530,SD,Negeri,-6.924403227,107.6835656
SDN 021 CIPOREAT KOTA BANDUNG,20245527,SD,Negeri,-6.916952012,107.7061878
SDN 017 SEKEJATI KOTA BANDUNG,20245760,SD,Negeri,-6.940180886,107.6529688
SDN 008 MOHAMAD TOHA KOTA BANDUNG,20245238,SD,Negeri,-6.929906786,107.6065678
SDN 097 CIRATEUN KULON KOTA BANDUNG,20244855,SD,Negeri,-6.843442740,107.5977530
SDN 029 CILENGKRANG KOTA BANDUNG,20245494,SD,Negeri,-6.913464322,107.7195269
SDN 006 BUAHBATU KOTA BANDUNG,20245122,SD,Negeri,-6.951410294,107.6407248
SDN 078 SINDANGSARI ANTAPANI KOTA BANDUNG,20245441,SD,Negeri,-6.905880571,107.6645440
SDN 005 BABAKAN CIPARAY KOTA BANDUNG,20245011,SD,Negeri,-6.948672593,107.5872862
SDN 018 SUKAGALIH KOTA BANDUNG,20245266,SD,Negeri,-6.892494367,107.5935503
SDN 099 BABAKAN TAROGONG KOTA BANDUNG,20244943,SD,Negeri,-6.938247486,107.5938283
SDN 028 GUMURUH KOTA BANDUNG,20244864,SD,Negeri,-6.923461829,107.6308763
SDN 069 CIPAMOKOLAN DERWATI KOTA BANDUNG,20245502,SD,Negeri,-6.964664051,107.6829930
SDN 009 CIKADUT KOTA BANDUNG,20245520,SD,Negeri,-6.903486013,107.6656502
SDN 025 CIKUTRA KOTA BANDUNG,20245172,SD,Negeri,-6.893182965,107.6372488
SDN 037 SABANG KOTA BANDUNG,20245285,SD,Negeri,-6.908399833,107.6208798
SDN 026 BOJONGLOA KOTA BANDUNG,20244953,SD,Negeri,-6.948719292,107.5940239
SDN 001 MERDEKA KOTA BANDUNG,20245231,SD,Negeri,-6.915399328,107.6097675
SDN 010 CIDADAP KOTA BANDUNG,20245138,SD,Negeri,-6.864427555,107.5944967
SDN 003 PAGARSIH KOTA BANDUNG,20245064,SD,Negeri,-6.922618167,107.5944422
SDN 086 CIMINCRANG KOTA BANDUNG,20245497,SD,Negeri,-6.945787841,107.7047317
SDN 040 PASAWAHAN KOTA BANDUNG,20245073,SD,Negeri,-6.957334595,107.6130275
SDN 052 CISARANTEN WETAN GEDEBAGE KOTA BANDUNG,20245534,SD,Negeri,-6.940535838,107.6916829
SDN 105 SUKARELA KOTA BANDUNG,20245790,SD,Negeri,-6.924247184,107.7046910
SDN 024 COBLONG KOTA BANDUNG,20245546,SD,Negeri,-6.879303458,107.6166362
SDN 067 NILEM KOTA BANDUNG,20245050,SD,Negeri,-6.935965486,107.6198215
SDN 049 DURMAN KOTA BANDUNG,20245193,SD,Negeri,-6.918174058,107.5997245
